sample size	iteration	gaussion copula time	time
50000	0	0.5364406108856201	0.0845186710357666
50000	1	0.0763430595397949	0.0766463279724121
50000	2	0.0760126113891601	0.0764014720916748
50000	3	0.0758471488952636	0.076646089553833
50000	4	0.0754981040954589	0.0760459899902343
50000	5	0.075265884399414	0.0775806903839111
50000	6	0.0761940479278564	0.0774281024932861
50000	7	0.0762832164764404	0.0782935619354248
50000	8	0.0762619972229003	0.0769469738006591
50000	9	0.0763180255889892	0.0778193473815918
50000	10	0.0762665271759033	0.0762579441070556
50000	11	0.0757515430450439	0.077233076095581
50000	12	0.0755941867828369	0.0767822265625
50000	13	0.0756874084472656	0.0769391059875488
50000	14	0.0760707855224609	0.0771665573120117
50000	15	0.0753662586212158	0.0762269496917724
50000	16	0.075366735458374	0.0762166976928711
50000	17	0.0756959915161132	0.0767765045166015
50000	18	0.075770616531372	0.076357364654541
50000	19	0.076045274734497	0.0778160095214843
50000	20	0.0764057636260986	0.0778117179870605
50000	21	0.0765299797058105	0.0775814056396484
50000	22	0.0768182277679443	0.0767741203308105
50000	23	0.0758445262908935	0.0771486759185791
50000	24	0.0756449699401855	0.0774352550506591
50000	25	0.0759680271148681	0.0771727561950683
50000	26	0.076078176498413	0.0769503116607666
50000	27	0.0757043361663818	0.0768077373504638
50000	28	0.0763959884643554	0.0763876438140869
50000	29	0.0757727622985839	0.0766212940216064
50000	30	0.0756809711456298	0.0767798423767089
50000	31	0.0758237838745117	0.077202558517456
50000	32	0.0764238834381103	0.0765008926391601
50000	33	0.0762042999267578	0.0834417343139648
50000	34	0.0797879695892334	0.0796732902526855
50000	35	0.0782930850982666	0.0784714221954345
50000	36	0.0780150890350341	0.078801155090332
50000	37	0.0777924060821533	0.078857421875
50000	38	0.0786817073822021	0.0784592628479003
50000	39	0.0778777599334716	0.0769343376159668
50000	40	0.0760097503662109	0.077634572982788
50000	41	0.0767605304718017	0.0767076015472412
50000	42	0.07647705078125	0.0777339935302734
50000	43	0.0762178897857666	0.0768659114837646
50000	44	0.0761880874633789	0.0774908065795898
50000	45	0.0774197578430175	0.0774898529052734
50000	46	0.076495885848999	0.0768074989318847
50000	47	0.0769832134246826	0.0772671699523925
50000	48	0.0758414268493652	0.0769901275634765
50000	49	0.076014757156372	0.0766341686248779
50000	50	0.076209545135498	0.0771129131317138
50000	51	0.0756988525390625	0.0777342319488525
50000	52	0.0762107372283935	0.0762610435485839
50000	53	0.0759804248809814	0.0770022869110107
50000	54	0.0759251117706298	0.0773291587829589
50000	55	0.0759418010711669	0.0771055221557617
50000	56	0.0756819248199462	0.0769002437591552
50000	57	0.0757439136505127	0.0764992237091064
50000	58	0.0759003162384033	0.076589822769165
50000	59	0.0758259296417236	0.0766370296478271
50000	60	0.0759754180908203	0.0838212966918945
50000	61	0.0800795555114746	0.0769064426422119
50000	62	0.075953722000122	0.0767858028411865
50000	63	0.0759451389312744	0.0768980979919433
50000	64	0.0756270885467529	0.0773251056671142
50000	65	0.0757389068603515	0.0771512985229492
