library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	50000	4	0.12842464447021484
THOI	GC	1000	30	50000	5	0.664344310760498
THOI	GC	1000	30	50000	6	2.983412027359009
THOI	GC	1000	30	50000	7	11.296006202697754
THOI	GC	1000	30	50000	8	35.958733558654785
THOI	GC	1000	30	50000	9	99.77934646606445
THOI	GC	1000	30	50000	10	243.04893827438354
THOI	GC	1000	30	50000	11	508.8129713535309
THOI	GC	1000	30	50000	12	938.1189987659454
THOI	GC	1000	30	50000	13	1493.2846720218658
THOI	GC	1000	30	50000	14	2145.8491463661194
THOI	GC	1000	30	50000	15	2541.5159265995026
THOI	GC	1000	30	50000	16	2731.693867444992
THOI	GC	1000	30	50000	17	2622.976678609848
THOI	GC	1000	30	50000	18	2439.2380435466766
THOI	GC	1000	30	50000	19	1760.7797045707703
THOI	GC	1000	30	50000	20	1101.6822628974915
THOI	GC	1000	30	50000	21	588.0544168949127
THOI	GC	1000	30	50000	22	270.64384055137634
THOI	GC	1000	30	50000	23	104.11097264289856
THOI	GC	1000	30	50000	24	34.13356828689575
THOI	GC	1000	30	50000	25	9.025669813156128
THOI	GC	1000	30	50000	26	2.0678579807281494
THOI	GC	1000	30	50000	27	0.329540491104126
THOI	GC	1000	30	50000	28	0.04672503471374512
THOI	GC	1000	30	50000	29	0.010489940643310547
THOI	GC	1000	30	60000	3	0.03492116928100586
THOI	GC	1000	30	60000	4	0.12561535835266113
THOI	GC	1000	30	60000	5	0.7074282169342041
THOI	GC	1000	30	60000	6	3.2233097553253174
THOI	GC	1000	30	60000	7	11.689729690551758
THOI	GC	1000	30	60000	8	36.69929385185242
THOI	GC	1000	30	60000	9	101.78669548034668
THOI	GC	1000	30	60000	10	242.7558205127716
THOI	GC	1000	30	60000	11	505.4944734573364
THOI	GC	1000	30	60000	12	934.3367323875427
THOI	GC	1000	30	60000	13	1490.7391622066498
THOI	GC	1000	30	60000	14	2081.060717344284
THOI	GC	1000	30	60000	15	2550.892286300659
THOI	GC	1000	30	60000	16	2746.7217667102814
THOI	GC	1000	30	60000	17	2679.5289871692657
THOI	GC	1000	30	60000	18	2634.6481778621674
THOI	GC	1000	30	60000	19	1968.4006850719452
THOI	GC	1000	30	60000	20	1210.677517414093
THOI	GC	1000	30	60000	21	653.09028673172
THOI	GC	1000	30	60000	22	312.862291097641
THOI	GC	1000	30	60000	23	108.34498333930969
THOI	GC	1000	30	60000	24	45.63781476020813
THOI	GC	1000	30	60000	25	14.217349529266357
THOI	GC	1000	30	60000	26	1.927821397781372
THOI	GC	1000	30	60000	27	0.30802083015441895
THOI	GC	1000	30	60000	28	0.051903724670410156
THOI	GC	1000	30	60000	29	0.009657621383666992
THOI	GC	1000	30	70000	3	0.03772854804992676
THOI	GC	1000	30	70000	4	0.12585830688476562
THOI	GC	1000	30	70000	5	0.6823439598083496
THOI	GC	1000	30	70000	6	3.0242533683776855
THOI	GC	1000	30	70000	7	11.230478525161743
THOI	GC	1000	30	70000	8	36.66502618789673
THOI	GC	1000	30	70000	9	102.51087594032288
THOI	GC	1000	30	70000	10	242.71707487106323
THOI	GC	1000	30	70000	11	507.3402147293091
THOI	GC	1000	30	70000	12	971.3248553276062
THOI	GC	1000	30	70000	13	1480.4717426300049
THOI	GC	1000	30	70000	14	2040.5536997318268
THOI	GC	1000	30	70000	15	2474.575576066971
THOI	GC	1000	30	70000	16	2683.9138445854187
THOI	GC	1000	30	70000	17	2589.9083127975464
THOI	GC	1000	30	70000	18	2439.8835282325745
THOI	GC	1000	30	70000	19	1765.059208393097
THOI	GC	1000	30	70000	20	1129.1677329540253
THOI	GC	1000	30	70000	21	596.7434062957764
THOI	GC	1000	30	70000	22	290.8884234428406
THOI	GC	1000	30	70000	23	106.4577374458313
THOI	GC	1000	30	70000	24	34.05729961395264
THOI	GC	1000	30	70000	25	9.00233507156372
THOI	GC	1000	30	70000	26	2.081540107727051
THOI	GC	1000	30	70000	27	0.330258846282959
THOI	GC	1000	30	70000	28	0.0442655086517334
THOI	GC	1000	30	70000	29	0.008777379989624023
THOI	GC	1000	30	80000	3	0.024804115295410156
THOI	GC	1000	30	80000	4	0.12981605529785156
THOI	GC	1000	30	80000	5	0.7381737232208252
THOI	GC	1000	30	80000	6	3.180403709411621
THOI	GC	1000	30	80000	7	11.744783639907837
THOI	GC	1000	30	80000	8	37.88472652435303
THOI	GC	1000	30	80000	9	103.32267737388611
THOI	GC	1000	30	80000	10	242.91277241706848
THOI	GC	1000	30	80000	11	508.8299763202667
THOI	GC	1000	30	80000	12	939.5754535198212
THOI	GC	1000	30	80000	13	1501.7120463848114
THOI	GC	1000	30	80000	14	2089.0530631542206
THOI	GC	1000	30	80000	15	2570.5149102211
THOI	GC	1000	30	80000	16	2819.5565390586853
THOI	GC	1000	30	80000	17	2663.1011102199554
THOI	GC	1000	30	80000	18	2527.3904786109924
THOI	GC	1000	30	80000	19	1828.3549342155457
THOI	GC	1000	30	80000	20	1132.3247773647308
THOI	GC	1000	30	80000	21	596.321197271347
THOI	GC	1000	30	80000	22	283.36961460113525
THOI	GC	1000	30	80000	23	103.56797289848328
THOI	GC	1000	30	80000	24	34.00068712234497
THOI	GC	1000	30	80000	25	9.023430824279785
THOI	GC	1000	30	80000	26	2.049938201904297
THOI	GC	1000	30	80000	27	0.33953356742858887
THOI	GC	1000	30	80000	28	0.05990457534790039
THOI	GC	1000	30	80000	29	0.010590314865112305
THOI	GC	1000	30	90000	3	0.4132561683654785
THOI	GC	1000	30	90000	4	0.1010582447052002
THOI	GC	1000	30	90000	5	0.55352783203125
THOI	GC	1000	30	90000	6	2.477756977081299
THOI	GC	1000	30	90000	7	9.382730484008789
THOI	GC	1000	30	90000	8	31.687831163406372
THOI	GC	1000	30	90000	9	90.91035485267639
THOI	GC	1000	30	90000	10	233.43605256080627
THOI	GC	1000	30	90000	11	507.9100389480591
THOI	GC	1000	30	90000	12	984.3369262218475
THOI	GC	1000	30	90000	13	1746.7113819122314
THOI	GC	1000	30	90000	14	2571.1976804733276
THOI	GC	1000	30	90000	15	2964.7785720825195
THOI	GC	1000	30	90000	16	3150.904821872711
THOI	GC	1000	30	90000	17	3053.4157934188843
THOI	GC	1000	30	90000	18	2872.1812827587128
THOI	GC	1000	30	90000	19	2115.591922521591
THOI	GC	1000	30	90000	20	1300.8141107559204
THOI	GC	1000	30	90000	21	703.7418370246887
THOI	GC	1000	30	90000	22	322.7855622768402
THOI	GC	1000	30	90000	23	128.35967111587524
THOI	GC	1000	30	90000	24	34.19430327415466
THOI	GC	1000	30	90000	25	11.186766147613525
THOI	GC	1000	30	90000	26	3.612818479537964
THOI	GC	1000	30	90000	27	0.8495807647705078
