sample size	iteration	time
15000	10	0.949
15000	11	1.006
15000	12	0.956
15000	13	0.935
15000	14	1.08
15000	15	0.93
15000	16	1.047
15000	17	0.941
15000	18	0.947
15000	19	0.973
15000	20	0.936
15000	21	0.946
15000	22	1.052
15000	23	0.947
15000	24	0.934
15000	25	0.94
15000	26	0.944
15000	27	0.954
15000	28	0.934
15000	29	0.963
15000	30	1.023
15000	31	0.944
15000	32	0.934
15000	33	0.946
15000	34	0.937
15000	35	0.95
15000	36	0.938
15000	37	0.999
15000	38	0.938
15000	39	0.942
15000	40	1.018
15000	41	0.944
15000	42	0.961
15000	43	0.948
15000	44	0.936
15000	45	1.054
15000	46	0.95
15000	47	0.999
15000	48	0.947
15000	49	0.951
15000	50	0.958
15000	51	0.966
15000	52	0.945
15000	53	0.949
15000	54	0.949
15000	55	0.951
15000	56	1.046
15000	57	1.062
15000	58	1.055
15000	59	1.07
15000	60	1.045
15000	61	1.085
15000	62	1.031
15000	63	1.084
15000	64	1.083
15000	65	1.092
15000	66	1.06
15000	67	0.987
15000	68	1.104
15000	69	1.039
15000	70	1.127
15000	71	1.056
15000	72	1.149
15000	73	1.084
15000	74	1.109
15000	75	1.013
15000	76	1.034
15000	77	0.999
15000	78	0.987
15000	79	1.068
15000	80	1.058
15000	81	0.97
15000	82	1.0
15000	83	1.002
15000	84	1.026
15000	85	1.04
15000	86	1.017
15000	87	1.059
15000	88	1.043
15000	89	1.024
15000	90	0.991
15000	91	0.969
15000	92	1.011
15000	93	0.984
15000	94	0.98
15000	95	0.992
15000	96	1.03
15000	97	1.092
15000	98	1.042
15000	99	1.013
20000	0	1.635
20000	1	1.532
20000	2	1.546
20000	3	1.529
20000	4	1.59
20000	5	1.54
20000	6	1.521
20000	7	1.524
20000	8	1.526
20000	9	1.67
20000	10	1.518
20000	11	1.527
20000	12	1.53
20000	13	1.534
20000	14	1.515
20000	15	1.742
20000	16	1.765
20000	17	1.634
20000	18	1.616
20000	19	1.635
20000	20	1.657
20000	21	1.628
20000	22	1.535
20000	23	2.15
20000	24	2.371
20000	25	2.635
20000	26	2.671
20000	27	2.642
20000	28	2.611
20000	29	2.618
20000	30	2.664
20000	31	2.474
20000	32	2.682
20000	33	2.62
20000	34	2.647
20000	35	2.605
20000	36	2.521
20000	37	2.625
