library	estimator	T	N	order	time	max_memory_usage
HOI	GC	1000	30	3	0.8658454418182373	316.953125
HOI	GC	1000	30	4	3.2700626850128174	366.10546875
HOI	GC	1000	30	5	8.673042058944702	403.7578125
HOI	GC	1000	30	6	68.03823661804199	485.88671875
HOI	GC	1000	30	7	189.3180365562439	702.4609375
HOI	GC	1000	30	8	1033.7512142658234	1111.64453125
HOI	GC	1000	30	9	2220.2941052913666	2272.8125
HOI	GC	1000	30	10	8139.781811952591	4025.515625
HOI	GC	1000	30	11	19156.808951854706	8018.26953125
